Variable,Coefficient (β: Standardized),B (Unstandardized),S.E.,Direction,95% CI,99% CI,99.9% CI,Significance
Trusted_Headline_with_map,0.032100383873527094,0.07405539929648546,0.010328376759102562,Positive,"[0.0132, 0.0538]","[0.0087, 0.0580]","[0.0002, 0.0619]",***
Suspicious_Headline_with_map,0.05576930601775011,0.12865946531681088,0.011410093468625912,Positive,"[0.0382, 0.0825]","[0.0314, 0.0928]","[0.0271, 0.0984]",***
Suspicious_Headline_with_photo,0.0093119572771414,0.02812736699830582,0.010459723058677766,Positive,"[-0.0095, 0.0302]","[-0.0153, 0.0359]","[-0.0190, 0.0400]",
Trusted_Headline_only,-0.0262670085410141,-0.07934119188823661,0.013297206891148557,Negative,"[-0.0499, 0.0020]","[-0.0559, 0.0108]","[-0.0587, 0.0203]",
Suspicious_Headline_only,0.04551852373610091,0.1374916340616458,0.009705588040149022,Positive,"[0.0282, 0.0656]","[0.0227, 0.0718]","[0.0143, 0.0801]",***
Interest_Maps,-0.035687707742387595,-0.041757561241108174,0.027426792616875268,Negative,"[-0.0928, 0.0151]","[-0.1057, 0.0245]","[-0.1168, 0.0448]",
Proficiency_Maps,-0.030494171067627047,-0.02754175213788632,0.03246039282465722,Negative,"[-0.0996, 0.0291]","[-0.1212, 0.0478]","[-0.1404, 0.0706]",
Experienced_Climate,-0.05424061127120219,-0.06792199273672103,0.035114875919323156,Negative,"[-0.1291, 0.0094]","[-0.1554, 0.0289]","[-0.1793, 0.0313]",
Interest_Climate,-0.02006591183952767,-0.02086059928217267,0.030699884503173666,Negative,"[-0.0849, 0.0396]","[-0.1024, 0.0536]","[-0.1212, 0.0734]",
Trust_Researchers,0.019052195517697504,0.024662155262856228,0.029290035915711513,Positive,"[-0.0399, 0.0759]","[-0.0562, 0.0946]","[-0.0702, 0.1159]",
Trust_Climate,0.013575754363548163,0.015899907967967492,0.03214858018409794,Positive,"[-0.0489, 0.0790]","[-0.0714, 0.1015]","[-0.0815, 0.1304]",
Trusted_Headline_with_map_x_Interest_Maps,0.03375714068337506,0.020168738169121674,0.010204786537495033,Positive,"[0.0142, 0.0547]","[0.0103, 0.0631]","[0.0028, 0.0686]",***
Trusted_Headline_with_map_x_Proficiency_Maps,0.04859816478499642,0.03538143840531325,0.014284984547128132,Positive,"[0.0206, 0.0785]","[0.0157, 0.0877]","[0.0088, 0.1074]",***
Trusted_Headline_with_map_x_Experienced_Climate,0.027143030366714123,0.01568965360447143,0.009994071745666817,Positive,"[0.0088, 0.0468]","[0.0032, 0.0523]","[-0.0021, 0.0556]",**
Trusted_Headline_with_map_x_Interest_Climate,0.029887988240388588,0.020941427754000916,0.011490080463310206,Positive,"[0.0090, 0.0537]","[0.0057, 0.0641]","[0.0044, 0.0720]",***
Trusted_Headline_with_map_x_Trust_Researchers,0.04733248858517927,0.027075490601489883,0.01149137298846327,Positive,"[0.0254, 0.0699]","[0.0217, 0.0786]","[0.0151, 0.0816]",***
Trusted_Headline_with_map_x_Trust_Climate,0.0386519843088602,0.027018081800887273,0.013990429615830706,Positive,"[0.0139, 0.0694]","[0.0061, 0.0770]","[-0.0016, 0.0832]",**
Suspicious_Headline_with_map_x_Interest_Maps,0.04640327710298465,0.027724372595935298,0.010507624632812407,Positive,"[0.0293, 0.0707]","[0.0245, 0.0768]","[0.0198, 0.0866]",***
Suspicious_Headline_with_map_x_Proficiency_Maps,0.030870143485535885,0.022474718646862797,0.014305416283534345,Positive,"[0.0042, 0.0611]","[-0.0070, 0.0697]","[-0.0158, 0.0765]",*
Suspicious_Headline_with_map_x_Experienced_Climate,0.047248530431730516,0.027311360072133334,0.01137982799655425,Positive,"[0.0279, 0.0719]","[0.0214, 0.0817]","[0.0187, 0.0918]",***
Suspicious_Headline_with_map_x_Interest_Climate,0.03469825809995365,0.02431180912363773,0.010270436203511897,Positive,"[0.0160, 0.0567]","[0.0124, 0.0626]","[0.0054, 0.0658]",***
Suspicious_Headline_with_map_x_Trust_Researchers,0.05348170822565243,0.03059301405226952,0.012123631092894082,Positive,"[0.0348, 0.0798]","[0.0290, 0.0953]","[0.0231, 0.1088]",***
Suspicious_Headline_with_map_x_Trust_Climate,0.04212239098069503,0.02944392701992522,0.014964562075552442,Positive,"[0.0159, 0.0730]","[0.0092, 0.0862]","[0.0054, 0.0946]",***
Suspicious_Headline_with_photo_x_Interest_Maps,0.0007725075402228559,0.0006071400982986799,0.011184556947637212,Positive,"[-0.0185, 0.0250]","[-0.0254, 0.0340]","[-0.0299, 0.0379]",
Suspicious_Headline_with_photo_x_Proficiency_Maps,0.00035695464083587133,0.0003442776267579846,0.012634374017071343,Positive,"[-0.0222, 0.0265]","[-0.0314, 0.0389]","[-0.0378, 0.0494]",
Suspicious_Headline_with_photo_x_Experienced_Climate,0.006955408465390589,0.005284185549795897,0.011560270819467875,Positive,"[-0.0158, 0.0301]","[-0.0220, 0.0344]","[-0.0249, 0.0428]",
Suspicious_Headline_with_photo_x_Interest_Climate,0.004770153166722649,0.004411996421880079,0.01241371401411831,Positive,"[-0.0188, 0.0282]","[-0.0252, 0.0364]","[-0.0320, 0.0456]",
Suspicious_Headline_with_photo_x_Trust_Researchers,0.011956794314058874,0.008986552685317142,0.011103019427800674,Positive,"[-0.0084, 0.0336]","[-0.0128, 0.0398]","[-0.0200, 0.0419]",
Suspicious_Headline_with_photo_x_Trust_Climate,0.02813789167691583,0.02591767768439421,0.013904115705542893,Positive,"[0.0047, 0.0572]","[-0.0024, 0.0671]","[-0.0047, 0.0779]",*
Trusted_Headline_only_x_Interest_Maps,-0.015372775746719192,-0.01208199026160199,0.013272583587042629,Negative,"[-0.0398, 0.0132]","[-0.0442, 0.0204]","[-0.0477, 0.0286]",
Trusted_Headline_only_x_Proficiency_Maps,-0.01731058321078583,-0.016695809001531427,0.01720100999162421,Negative,"[-0.0464, 0.0222]","[-0.0571, 0.0331]","[-0.0618, 0.0429]",
Trusted_Headline_only_x_Experienced_Climate,-0.028428239585323988,-0.02159759467332289,0.011791761707671041,Negative,"[-0.0505, -0.0032]","[-0.0573, 0.0027]","[-0.0685, 0.0081]",*
Trusted_Headline_only_x_Interest_Climate,-0.01086291901545901,-0.010047299982257542,0.013897865998234572,Negative,"[-0.0371, 0.0185]","[-0.0438, 0.0259]","[-0.0533, 0.0428]",
Trusted_Headline_only_x_Trust_Researchers,-0.04104520223455641,-0.030848976964221606,0.012371687524858434,Negative,"[-0.0639, -0.0158]","[-0.0727, -0.0077]","[-0.0809, 0.0020]",**
Trusted_Headline_only_x_Trust_Climate,-0.034436987463219174,-0.03171974473927849,0.013839615982687027,Negative,"[-0.0595, -0.0062]","[-0.0659, 0.0033]","[-0.0714, 0.0187]",*
Suspicious_Headline_only_x_Interest_Maps,0.03706589792591893,0.02913135696226235,0.009341892122140736,Positive,"[0.0198, 0.0572]","[0.0133, 0.0615]","[0.0051, 0.0714]",***
Suspicious_Headline_only_x_Proficiency_Maps,0.01901621044275409,0.018340861981318353,0.017632352860020652,Positive,"[-0.0169, 0.0545]","[-0.0319, 0.0612]","[-0.0426, 0.0657]",
Suspicious_Headline_only_x_Experienced_Climate,0.03802191221118273,0.02888613085509958,0.00979697696412126,Positive,"[0.0209, 0.0584]","[0.0136, 0.0661]","[0.0078, 0.0715]",***
Suspicious_Headline_only_x_Interest_Climate,0.042579980878811326,0.039382954113842336,0.010576959965528022,Positive,"[0.0235, 0.0655]","[0.0182, 0.0722]","[0.0089, 0.0766]",***
Suspicious_Headline_only_x_Trust_Researchers,0.04053405516626778,0.030464806262738498,0.010287937822639006,Positive,"[0.0228, 0.0618]","[0.0188, 0.0672]","[0.0085, 0.0747]",***
Suspicious_Headline_only_x_Trust_Climate,0.05009108107657605,0.046138655628937146,0.014329074711801455,Positive,"[0.0236, 0.0791]","[0.0135, 0.0874]","[0.0000, 0.0970]",***
