Variable,Coefficient (β: Standardized),B (Unstandardized),S.E.,Direction,95% CI,99% CI,99.9% CI,Significance
Trusted_Headline_with_map,0.050252084839590795,0.10648857164734657,0.005146945610477841,Positive,"[0.0341, 0.0544]","[0.0307, 0.0586]","[0.0285, 0.0602]",***
Suspicious_Headline_with_map,0.00867341270442695,0.018379721620518864,0.005084799980923392,Positive,"[-0.0019, 0.0182]","[-0.0047, 0.0210]","[-0.0064, 0.0248]",
Suspicious_Headline_with_photo,-0.025506202409220236,-0.07076790227335987,0.004677085379428847,Negative,"[-0.0323, -0.0141]","[-0.0354, -0.0122]","[-0.0382, -0.0092]",***
Trusted_Headline_only,-0.02173672411557998,-0.06030934528294507,0.0041035160447437085,Negative,"[-0.0316, -0.0153]","[-0.0334, -0.0122]","[-0.0365, -0.0096]",***
Suspicious_Headline_only,-0.01955565417677056,-0.05425788604159473,0.004506126501719538,Negative,"[-0.0248, -0.0073]","[-0.0285, -0.0036]","[-0.0311, -0.0013]",***
Interest_Maps,0.009266978033468282,0.00995994687846197,0.00502411177731123,Positive,"[-0.0070, 0.0126]","[-0.0121, 0.0154]","[-0.0155, 0.0190]",
Proficiency_Maps,-0.012746014701556611,-0.010574298450186431,0.0051447330745494416,Negative,"[-0.0144, 0.0053]","[-0.0177, 0.0083]","[-0.0199, 0.0116]",
Experienced_Climate,-0.005582361075034092,-0.0064210519429837186,0.005301633793348732,Negative,"[-0.0136, 0.0079]","[-0.0163, 0.0100]","[-0.0184, 0.0117]",
Interest_Climate,-0.013949925126906912,-0.013321163936930318,0.005205777355000917,Negative,"[-0.0154, 0.0054]","[-0.0180, 0.0082]","[-0.0197, 0.0106]",
Trust_Researchers,-0.036037812009799115,-0.04284960559484541,0.005295028879994715,Negative,"[-0.0224, -0.0020]","[-0.0247, 0.0004]","[-0.0283, 0.0041]",*
Trust_Climate,0.03767876671190498,0.040534958606966175,0.005288295656802638,Positive,"[0.0033, 0.0233]","[-0.0019, 0.0275]","[-0.0040, 0.0314]",*
Trusted_Headline_with_map_x_Interest_Maps,0.05149352172940372,0.028259734987362683,0.005167584781477675,Positive,"[0.0342, 0.0545]","[0.0305, 0.0580]","[0.0286, 0.0620]",***
Trusted_Headline_with_map_x_Proficiency_Maps,0.038672253140781314,0.025861726048154836,0.0054871355426601015,Positive,"[0.0285, 0.0504]","[0.0268, 0.0547]","[0.0230, 0.0568]",***
Trusted_Headline_with_map_x_Experienced_Climate,0.05094582645878591,0.027049924058932272,0.005021357242769817,Positive,"[0.0343, 0.0538]","[0.0314, 0.0567]","[0.0285, 0.0596]",***
Trusted_Headline_with_map_x_Interest_Climate,0.04644430995558426,0.029891281495336732,0.005316651264456023,Positive,"[0.0318, 0.0525]","[0.0293, 0.0563]","[0.0268, 0.0604]",***
Trusted_Headline_with_map_x_Trust_Researchers,0.04538147493019327,0.023845037952964124,0.005143931933479895,Positive,"[0.0327, 0.0528]","[0.0303, 0.0559]","[0.0273, 0.0570]",***
Trusted_Headline_with_map_x_Trust_Climate,0.04948667353356555,0.03177411001682677,0.0050405591254173545,Positive,"[0.0339, 0.0535]","[0.0311, 0.0575]","[0.0271, 0.0603]",***
Suspicious_Headline_with_map_x_Interest_Maps,0.008667840783808809,0.004756926215889788,0.005043058989465693,Positive,"[-0.0020, 0.0187]","[-0.0039, 0.0218]","[-0.0060, 0.0246]",
Suspicious_Headline_with_map_x_Proficiency_Maps,0.0070511645048071106,0.00471540367922071,0.005017655913213815,Positive,"[-0.0032, 0.0173]","[-0.0049, 0.0199]","[-0.0079, 0.0215]",
Suspicious_Headline_with_map_x_Experienced_Climate,0.006390482541260062,0.0033930564966074095,0.005231678754406298,Positive,"[-0.0031, 0.0182]","[-0.0055, 0.0207]","[-0.0093, 0.0241]",
Suspicious_Headline_with_map_x_Interest_Climate,0.0029818802785159257,0.001919120401955628,0.005019305490255835,Positive,"[-0.0035, 0.0168]","[-0.0055, 0.0206]","[-0.0077, 0.0221]",
Suspicious_Headline_with_map_x_Trust_Researchers,-0.006790034837517579,-0.0035677253472172613,0.005009233440619823,Negative,"[-0.0065, 0.0135]","[-0.0084, 0.0163]","[-0.0120, 0.0207]",
Suspicious_Headline_with_map_x_Trust_Climate,0.013951755841258162,0.008958060693397793,0.005134395389879886,Positive,"[-0.0004, 0.0197]","[-0.0024, 0.0231]","[-0.0046, 0.0255]",
Suspicious_Headline_with_photo_x_Interest_Maps,-0.02436097504449165,-0.01758665612589863,0.004398649919948914,Negative,"[-0.0318, -0.0148]","[-0.0348, -0.0119]","[-0.0360, -0.0096]",***
Suspicious_Headline_with_photo_x_Proficiency_Maps,-0.026349894045921852,-0.023344095788410554,0.004456473246970304,Negative,"[-0.0319, -0.0144]","[-0.0342, -0.0117]","[-0.0363, -0.0084]",***
Suspicious_Headline_with_photo_x_Experienced_Climate,-0.02926263427612394,-0.020420729594594993,0.004270694562500113,Negative,"[-0.0328, -0.0161]","[-0.0356, -0.0136]","[-0.0373, -0.0114]",***
Suspicious_Headline_with_photo_x_Interest_Climate,-0.02819819816126169,-0.023956678301533158,0.004159640188823527,Negative,"[-0.0324, -0.0165]","[-0.0349, -0.0137]","[-0.0379, -0.0118]",***
Suspicious_Headline_with_photo_x_Trust_Researchers,-0.02654885475128062,-0.018328485209013694,0.004663144911837267,Negative,"[-0.0326, -0.0147]","[-0.0354, -0.0125]","[-0.0375, -0.0099]",***
Suspicious_Headline_with_photo_x_Trust_Climate,-0.015457318437162536,-0.013077993003321289,0.00471171080429431,Negative,"[-0.0289, -0.0109]","[-0.0322, -0.0082]","[-0.0347, -0.0064]",***
Trusted_Headline_only_x_Interest_Maps,-0.017864430902065374,-0.01289667603967848,0.004161657896808014,Negative,"[-0.0302, -0.0143]","[-0.0338, -0.0111]","[-0.0357, -0.0084]",***
Trusted_Headline_only_x_Proficiency_Maps,-0.016758436627384896,-0.01484675988495021,0.004441289878190415,Negative,"[-0.0303, -0.0130]","[-0.0326, -0.0101]","[-0.0355, -0.0066]",***
Trusted_Headline_only_x_Experienced_Climate,-0.015584990570283452,-0.010875879292581131,0.004305665073765905,Negative,"[-0.0302, -0.0130]","[-0.0322, -0.0102]","[-0.0352, -0.0079]",***
Trusted_Headline_only_x_Interest_Climate,-0.01297786895952752,-0.011025762352786536,0.004518133125212345,Negative,"[-0.0297, -0.0120]","[-0.0326, -0.0095]","[-0.0348, -0.0061]",***
Trusted_Headline_only_x_Trust_Researchers,-0.01612222856370697,-0.011130273999935445,0.00435832313801621,Negative,"[-0.0306, -0.0136]","[-0.0327, -0.0099]","[-0.0360, -0.0074]",***
Trusted_Headline_only_x_Trust_Climate,-0.022726057098024742,-0.019227863935732316,0.003918703958187997,Negative,"[-0.0310, -0.0158]","[-0.0332, -0.0132]","[-0.0359, -0.0118]",***
Suspicious_Headline_only_x_Interest_Maps,-0.02205477019437774,-0.015921762517134654,0.004287840463065762,Negative,"[-0.0257, -0.0083]","[-0.0281, -0.0058]","[-0.0302, -0.0017]",***
Suspicious_Headline_only_x_Proficiency_Maps,-0.02281843697048318,-0.02021548084604954,0.004286205546216997,Negative,"[-0.0253, -0.0087]","[-0.0285, -0.0058]","[-0.0308, -0.0023]",***
Suspicious_Headline_only_x_Experienced_Climate,-0.02363516688066052,-0.016493639883504913,0.004400217411712153,Negative,"[-0.0259, -0.0085]","[-0.0286, -0.0056]","[-0.0318, -0.0031]",***
Suspicious_Headline_only_x_Interest_Climate,-0.028598647006331794,-0.02429689238552184,0.004138149689555704,Negative,"[-0.0267, -0.0105]","[-0.0295, -0.0069]","[-0.0316, -0.0058]",***
Suspicious_Headline_only_x_Trust_Researchers,-0.02350983363910744,-0.01623044165775054,0.004339922043113424,Negative,"[-0.0256, -0.0087]","[-0.0291, -0.0059]","[-0.0315, -0.0029]",***
Suspicious_Headline_only_x_Trust_Climate,-0.015969584535103304,-0.013511406630137782,0.004512371545524121,Negative,"[-0.0237, -0.0060]","[-0.0273, -0.0023]","[-0.0292, 0.0007]",**
Time,0.008359663592248556,0.007678762167814726,0.004677124307398449,Positive,"[0.0071, 0.0253]","[0.0046, 0.0271]","[0.0025, 0.0294]",***
Time_x_Interest_Maps,0.005190491379984143,0.001264680292052307,0.004595246187226476,Positive,"[0.0067, 0.0245]","[0.0041, 0.0262]","[0.0019, 0.0282]",***
Time_x_Proficiency_Maps,0.013517355141457224,0.004062765162032514,0.004355016407860173,Positive,"[0.0100, 0.0270]","[0.0075, 0.0287]","[0.0058, 0.0299]",***
Time_x_Experienced_Climate,0.009884958146082937,0.0023469454841074625,0.004635658797177335,Positive,"[0.0080, 0.0258]","[0.0051, 0.0278]","[0.0025, 0.0291]",***
Time_x_Interest_Climate,-0.004958737400684729,-0.001482724120854934,0.004915592029886214,Negative,"[0.0023, 0.0218]","[-0.0002, 0.0236]","[-0.0031, 0.0247]",*
Time_x_Trust_Researchers,0.006109002358319954,0.0013997130823145262,0.0047210955816995685,Positive,"[0.0064, 0.0252]","[0.0040, 0.0272]","[0.0016, 0.0285]",***
Time_x_Trust_Climate,-0.0004053756467169108,-0.0001099199159754537,0.004925452327904967,Negative,"[0.0037, 0.0227]","[0.0002, 0.0247]","[-0.0018, 0.0258]",**
